mal_id,title,title_english,title_japanese,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics
52299,Ore dake Level Up na Ken,Solo Leveling,俺だけレベルアップな件,TV,Web manga,12.0,Finished Airing,False,"Jan 7, 2024 to Mar 31, 2024",23 min per ep,R - 17+ (violence & profanity),8.28,514162.0,304.0,214,881442,16542,"Ore dake Level Up na Ken was released on Blu-ray & DVD in four volumes from March 27, 2024, to June 26, 2024.",winter,Sundays at 00:00 (JST),"Aniplex, Crunchyroll, Netmarble, Kakao piccoma, D&C Media",,A-1 Pictures,"Action, Adventure, Fantasy",,"Adult Cast, Urban Fantasy",
11917,Major: World Series,,メジャー ワールドシリーズ編,OVA,Manga,2.0,Finished Airing,False,"Dec 16, 2011 to Jan 18, 2012",28 min per ep,PG-13 - Teens 13 or older,8.28,21409.0,303.0,3856,37926,102,,,,,,SynergySP,Sports,,Team Sports,Shounen
36371,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 3,銀河英雄伝説 Die Neue These 星乱 第3章,Movie,Novel,4.0,Finished Airing,False,"Nov 29, 2019",25 min per ep,R - 17+ (violence & profanity),8.28,13889.0,299.0,4452,28072,109,,,,Shochiku,,Production I.G,"Drama, Sci-Fi",,"Adult Cast, Military, Space",
759,Tokyo Godfathers,Tokyo Godfathers,東京ゴッドファーザーズ,Movie,Original,1.0,Finished Airing,False,"Nov 8, 2003",1 hr 32 min,PG-13 - Teens 13 or older,8.28,155494.0,308.0,840,310917,2807,Tokyo Godfathers received an Excellence Prize at the 2003 Japan Media Arts Festival. It also won Best Animation Film at the 58th Mainichi Film Awards.,,,"Dentsu, Genco, Tohokushinsha Film Corporation","Sony Pictures Entertainment, GKIDS",Madhouse,"Award Winning, Comedy, Drama",,Childcare,
486,Kino no Tabi: The Beautiful World,Kino's Journey,キノの旅 -the Beautiful World-,TV,Light novel,13.0,Finished Airing,False,"Apr 8, 2003 to Jul 8, 2003",24 min per ep,R - 17+ (violence & profanity),8.28,101105.0,302.0,770,334401,7265,,spring,Tuesdays at 18:30 (JST),"WOWOW, Genco, Pony Canyon, Studio Wombat, chara-ani.com, ASCII Media Works","ADV Films, Sentai Filmworks",A.C.G.T.,"Adventure, Drama, Fantasy",,,
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Doraemon: Nobita and the Steel Troops - The New Age,映画 ドラえもん 新・のび太と鉄人兵団～はばたけ 天使たち～,Movie,Manga,1.0,Finished Airing,False,"Mar 5, 2011",1 hr 48 min,PG - Children,8.28,12463.0,298.0,5324,18364,166,,,,"TV Asahi, Asatsu DK",,Shin-Ei Animation,"Adventure, Comedy, Fantasy",,Mecha,"Kids, Shounen"
9735,Gintama: Shinyaku Benizakura-hen,,銀魂 新訳紅桜篇,Special,Manga,1.0,Finished Airing,False,"Dec 15, 2010",11 min,PG-13 - Teens 13 or older,8.28,20156.0,301.0,3505,45462,53,,,,,,Sunrise,"Action, Comedy, Sci-Fi",,"Historical, Parody, Samurai",Shounen
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,Manga,94.0,Finished Airing,False,"Jan 10, 1996 to Sep 8, 1998",25 min per ep,PG-13 - Teens 13 or older,8.28,242553.0,305.0,466,510063,10246,,winter,Wednesdays at 19:30 (JST),"Aniplex, SME Visual Works, Fuji TV","Media Blasters, Aniplex of America","Gallop, Studio Deen","Action, Comedy, Romance",,"Historical, Samurai",Shounen
1735,Naruto: Shippuuden,Naruto Shippuden,-ナルト- 疾風伝,TV,Manga,500.0,Finished Airing,False,"Feb 15, 2007 to Mar 23, 2017",23 min per ep,PG-13 - Teens 13 or older,8.28,1728307.0,303.0,16,2597456,115622,,winter,Thursdays at 19:30 (JST),"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",VIZ Media,Pierrot,"Action, Adventure, Fantasy",,Martial Arts,Shounen
43325,Yuukoku no Moriarty Part 2,Moriarty the Patriot Part 2,憂国のモリアーティ,TV,Manga,13.0,Finished Airing,False,"Apr 4, 2021 to Jun 27, 2021",23 min per ep,R - 17+ (violence & profanity),8.28,126247.0,308.0,956,271059,3221,,spring,Sundays at 22:30 (JST),"Mainichi Broadcasting System, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, Bandai Spirits",Funimation,Production I.G,"Mystery, Suspense",,"Adult Cast, Historical, Organized Crime, Psychological",Shounen
